,,Canasta básica alimentaria,,Canasta básica total
,,,Inversa del coeficiente,
,Mes,,,
,,Línea de indigencia,de Engel,Línea de pobreza
,,(valor en $),,(valor en $)
2018,Enero,2197.26,2.5,5493.15
,Febrero,2261.23,2.51,5675.69
,Marzo,2294.56,2.52,5782.29
,Abril,2308.11,2.56,5908.76
,Mayo,2418.65,2.52,6095
,Junio,2537.45,2.5,6343.62
,Julio,2627.37,2.48,6515.88
,Agosto,2701.48,2.5,6753.7
,Septiembre,2931.88,2.49,7300.38
,Octubre,3150.62,2.49,7845.04
,Noviembre,3276.02,2.49,8157.29
,Diciembre,3300.17,2.5,8250.42
2019,Enero,3423.03,2.5,8557.58
